Category,Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Afro,6KY6K2UVCcYHkQyI4ePMSx,Firm Foundation (He Won't) [feat. Cody Carnes],0.213,0.565,1.0,-7.448,1.0,0.0383,0.341,0.0,0.0689,0.255,98.403
Afro,7DObo84GS9cTcf25Z5XMd0,I No Send,0.705,0.769,1.0,-6.149,1.0,0.0605,0.0792,3.89e-06,0.303,0.485,126.995
Afro,5HsGOxoTYRQaS2HOFOTCKo,Bulie,0.624,0.934,7.0,-4.114,1.0,0.159,0.381,0.0,0.157,0.676,94.991
Afro,71Q679KBIjayiuMLuHYxgK,A New Dawn,0.717,0.851,7.0,-5.49,1.0,0.0808,0.177,5.31e-06,0.242,0.795,135.008
Afro,1TmAG4vhedrQ64GznwECXb,Thank You Jesus,0.623,0.588,5.0,-4.812,0.0,0.0399,0.763,0.0,0.133,0.44,141.85
Afro,3Is2uGeYAW4Bnfnr9konZt,Joy To The World - Village Version,0.639,0.951,6.0,-1.92,1.0,0.0492,0.193,0.0273,0.153,0.917,125.239
Afro,6ezGHMuG167jNieeHVEan4,Alagbara (feat. Lyrical HI) - Live,0.396,0.747,8.0,-4.726,1.0,0.0843,0.595,0.0,0.137,0.502,82.507
Afro,3dmy0rwVI6ipn6KgznuQuS,Jehovah Ebenezer,0.436,0.455,8.0,-8.725,1.0,0.0323,0.824,0.0,0.344,0.36,123.727
Afro,5RrEkgXlClry1Wln0LTpIa,Kaabo,0.346,0.889,10.0,-5.162,1.0,0.159,0.000577,3.81e-05,0.191,0.303,172.011
Afro,2l43vVH3G9IBxNx2H0c8Xe,If No Be You,0.534,0.389,10.0,-7.26,0.0,0.031,0.717,0.0,0.138,0.426,118.343
Afro,5LwT1tPiIUszQ7C51DuEL2,Kumama Papa,0.464,0.624,0.0,-4.771,0.0,0.0617,0.83,1.79e-06,0.144,0.481,143.853
Afro,3ePKfVhpGQWdcm05CDKM36,Darling Jesus,0.772,0.688,9.0,-9.39,1.0,0.103,0.201,0.000258,0.274,0.785,112.891
Afro,4N2BsTLoKTUaGwX0aZ9CrY,"Umuhle Baba - Live At Cedarwoods of Sandton, 2023 / Reprise",0.336,0.788,3.0,-8.725,1.0,0.0349,0.000519,0.00131,0.118,0.212,139.849
Afro,67NHjEvUTfqyKqNZF0tSMh,Thixo Wamadinga Ethu (Live),0.303,0.738,8.0,-5.046,1.0,0.0539,0.521,1.06e-06,0.129,0.408,104.61
Afro,7wcjeveluiW5djtxLCxNSx,Thath'Indawo (Live),0.38,0.646,0.0,-8.379,1.0,0.0678,0.555,1.29e-06,0.135,0.315,105.845
Afro,7FfwSYKinjefexPoH8XSrm,Wakhazimula - Live,0.464,0.623,2.0,-12.575,1.0,0.0513,0.0109,9.34e-05,0.14,0.272,171.839
Afro,710zL5SAbc6dbHEsLiBwME,Moy’ Oyingcwele (Live),0.375,0.846,6.0,-7.018,1.0,0.0769,0.0803,0.000102,0.178,0.39,108.783
Afro,7eirw5Zy1bUWOka5g2HWrb,Bo Noo Ni (feat. Luigi Maclean),0.399,0.715,5.0,-6.95,1.0,0.15,0.37,0.0,0.136,0.576,87.127
Afro,0AqVbvy316jvn30WplrcQF,Bebre,0.76,0.889,8.0,-4.011,1.0,0.0486,0.152,8.31e-06,0.218,0.876,98.001
Afro,5mInFrdNxVsfBUeoUazXmo,Awurade Kasa,0.49,0.306,9.0,-9.026,1.0,0.0384,0.907,0.0,0.104,0.352,118.72
Afro,6RP4VR5DiCWPKkyQF4vxJD,E Be God,0.555,0.516,6.0,-7.447,1.0,0.0342,0.571,0.0,0.237,0.731,149.843
Afro,0H1Jd2NNq80u7xF7FzyJtn,Hosanna,0.78,0.809,10.0,-7.055,1.0,0.0496,0.205,0.000118,0.37,0.923,122.985
Afro,2VGGQdroduj4dIMGPsBzDG,THIS YEAR (Blessings),0.571,0.348,9.0,-9.391,0.0,0.0854,0.771,0.000125,0.325,0.349,66.337
Afro,7r9kOxiNDnkAg5QKqtyjVk,Rescue,0.293,0.237,6.0,-8.17,1.0,0.0284,0.78,0.0,0.11,0.108,92.935
Afro,2uznTqRWArP0zVo3aq55ar,Malaika,0.759,0.53,10.0,-8.376,1.0,0.0406,0.0368,0.0264,0.1,0.688,112.974
Afro,3QnQAJkb10GQWnmUtJLBoq,Only God Can Save Me,0.696,0.382,11.0,-11.921,0.0,0.215,0.467,1.59e-05,0.0951,0.364,111.997
Afro,6PGTBSagHYqLOMbuCjaI6H,Bire,0.735,0.712,8.0,-10.845,1.0,0.0332,0.0195,0.000532,0.115,0.284,113.032
Afro,5r8OPDPYNHojAhVsLnXuE1,Aseda,0.625,0.721,2.0,-6.123,1.0,0.0376,0.479,2.61e-05,0.0859,0.757,159.986
Afro,3D28L1BTQL3erWFIEamyBR,Chosen,0.816,0.582,2.0,-6.723,1.0,0.209,0.0798,0.000358,0.108,0.158,95.464
Afro,381k7MHOPFzsT27BvwoPPe,My Everything,0.72,0.804,7.0,-6.014,0.0,0.0351,0.479,0.0,0.274,0.856,97.032
Afro,7hjc9HCFAogwsDMpdNhIyb,The Kadosh (Live),0.256,0.869,0.0,-6.319,0.0,0.097,0.127,0.0191,0.364,0.236,140.556
Afro,38hOrmc7D0YqWZ2QYdxgK2,Desire,0.699,0.858,11.0,-6.603,0.0,0.089,0.0332,0.000204,0.0978,0.432,115.113
Afro,3Rr1Y9nXzMpjqZcsKvzydb,Mema Meni So,0.708,0.628,10.0,-6.523,1.0,0.039,0.364,0.000881,0.311,0.889,95.034
Afro,5LDQxqWab9bVdOMv0K1Ut6,Yesu Mo,0.628,0.777,0.0,-5.764,1.0,0.0644,0.29,0.0,0.0951,0.806,92.022
Afro,7E889Da9t6o7vx8HdaDryH,Akristofoo Adooso,0.759,0.659,1.0,-8.042,1.0,0.0505,0.249,1.92e-06,0.0736,0.929,78.965
Afro,34XwFfq1XGOF0HHyVQl1nx,Brighter Days,0.391,0.412,10.0,-6.367,1.0,0.035,0.0442,0.0,0.0814,0.288,172.441
Afro,1FvPaijZqgnxYPH7Ac9PcD,I Know Who I Am - Live,0.264,0.853,1.0,-8.253,1.0,0.109,0.0473,0.0,0.351,0.493,106.784
Afro,5j0qPhoZEPKcfdjsAo9MgD,Letting Go,0.701,0.411,9.0,-13.901,0.0,0.063,0.718,0.0,0.355,0.445,111.949
Afro,0nFJXe8v5S5J6Jihb33RkN,Dependable God (Medley),0.41,0.142,10.0,-14.06,1.0,0.0416,0.94,0.0,0.11,0.197,80.822
Afro,1FubXlwFRsFyyeqH5KodDG,You are Yahweh,0.238,0.506,9.0,-7.577,1.0,0.041,0.0684,0.000266,0.175,0.157,103.041
Afro,7dtW1HbJwH2XFugoTyoB9T,Testimony Worship,0.332,0.631,8.0,-7.614,1.0,0.0429,0.0306,0.0,0.117,0.258,103.545
Afro,0XmK2zPgY1t1msdf1jyhHw,Too Faithful,0.417,0.548,10.0,-6.336,1.0,0.0444,0.489,0.0,0.0602,0.198,132.495
Afro,0BPriVJeWjmo3ugIVkN2vw,Mungu Ni Upendo (feat. Pitson),0.802,0.727,4.0,-5.145,1.0,0.0931,0.112,0.0,0.115,0.717,99.993
Afro,4pqiEhBDAO49UNYZkA5OD9,Secret Agenda,0.841,0.885,11.0,-2.179,1.0,0.0541,0.371,0.000281,0.145,0.907,98.013
Afro,0HBD0KvuD49oRoBmqMNxu9,Ipo Siku Remix,0.707,0.847,11.0,-7.584,1.0,0.0362,0.0605,8.09e-06,0.0924,0.574,102.014
Afro,23QRgJ0c7GmQens8wuX9N3,Cheza Gospel,0.852,0.798,11.0,-4.799,1.0,0.124,0.076,1.45e-06,0.1,0.848,97.997
Afro,6Up545NUflOiXo8cEraH49,You Say,0.494,0.632,5.0,-6.89,1.0,0.0342,0.682,0.0,0.0869,0.0797,147.873
Afro,4OWverqpwi4P1BstWOjlS1,Shusha Nyavu,0.689,0.781,7.0,-4.904,1.0,0.156,0.188,2.79e-05,0.0907,0.72,90.064
Afro,7fw4Nzwa0FB7Qwu3zyFaY9,Sisi Ni Wale,0.737,0.536,6.0,-7.121,1.0,0.0586,0.316,0.00127,0.114,0.416,142.866
Afro,7wcBcpJnk3FkNvspFJN6SE,Nina Siri,0.568,0.899,5.0,-4.515,1.0,0.0547,0.371,0.0,0.125,0.666,99.986
Afro,1CrMQWrcbgM12xZWAnPITv,Niseme Nini,0.318,0.807,8.0,-6.554,1.0,0.115,0.0435,0.0,0.183,0.437,137.923
Afro,5suRrn5N4HNeRXOpBTdmZt,Promises (feat. Joe L Barnes),0.362,0.421,10.0,-11.699,1.0,0.0372,0.281,6.2e-05,0.0943,0.233,114.669
Afro,1goiRWxiG3GTlODrdDZ7NR,Jireh (feat. Chandler Moore & Naomi Raine),0.335,0.639,3.0,-6.598,1.0,0.0369,0.265,0.0,0.107,0.381,139.912
Afro,2yaogcyP25n6DStZK6VogL,Kuna Dawa,0.798,0.672,7.0,-7.708,1.0,0.0317,0.0201,1.41e-06,0.0573,0.913,116.025
Afro,4kvFgAcOePqyoSWleReQPm,Yesu Jemedari,0.741,0.734,2.0,-11.372,0.0,0.0717,0.252,0.0131,0.32,0.965,111.958
Afro,6HYxdbOWWPOWw1cfe51ohW,Bwana Wa Mabwana,0.793,0.769,0.0,-5.779,1.0,0.0773,0.535,0.0,0.0686,0.719,119.979
Afro,7mpfob4mDEiT06CaCWrl6E,Suduu,0.975,0.536,6.0,-9.096,1.0,0.0775,0.16,0.0,0.0548,0.903,116.088
Afro,1s7JN48VufHUgcC3g7svmI,SALUTI,0.575,0.813,10.0,-6.445,0.0,0.111,0.0565,0.0,0.361,0.787,104.826
Afro,3CRS6HLlhjIMLwDr4SJTK4,Huku,0.86,0.749,5.0,-5.292,1.0,0.0359,0.308,0.00011,0.0967,0.586,112.005
Afro,2P6dLx8C5m0byvNcpWoeLp,Side Niggah,0.482,0.631,5.0,-6.358,0.0,0.112,0.101,2e-05,0.128,0.488,74.296
Afro,35AoIIs76dRUQnVcn2ydSn,My Lady,0.59,0.771,0.0,-4.142,1.0,0.193,0.421,1.78e-06,0.128,0.657,98.852
Afro,4H8j1OrVUVGk9b7lkyfJHf,Komando,0.83,0.888,6.0,-4.264,0.0,0.114,0.25,0.0,0.0514,0.706,112.021
Afro,3osydJRsRqgVFKYTC04QfT,Enjoy,0.892,0.672,8.0,-4.669,1.0,0.0863,0.301,0.0,0.211,0.804,115.959
Afro,4TeBKOiJxNhU1iiCWziVYq,Yega Master (feat. Ucho),0.895,0.588,5.0,-11.798,0.0,0.147,0.113,0.0,0.0866,0.713,99.983
