id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
1Z1zLwWRLVxFcpM8NypchZ,IBIZA,0.711,0.72,0.715,0.0,2,0.105,-8.181,0,0.213,122.994,0.693,[]
51tMYALx6Lkrte41DoWIPq,PIN PIN,0.0328,0.77,0.759,0.0276,2,0.145,-5.749,1,0.0535,90.782,0.372,"['reggaeton', 'trap latino', 'urbano latino']"
3kUq4sBcmxhnOtNysZ9yrp,Feliz Cumpleaños Ferxxo,0.102,0.87,0.55,0.0,5,0.293,-5.537,1,0.0722,95.019,0.566,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
0z0IEbMRvIEjj9Iif4doxD,algo así (remix),0.451,0.446,0.521,0.0,9,0.106,-7.211,1,0.152,85.84,0.417,"['trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
2gLDm4AjVnHlsik9sK87vj,Nieve,0.00346,0.849,0.667,0.00104,6,0.108,-6.324,1,0.0466,120.033,0.747,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,0.238,0.627,0.429,0.0,1,0.122,-8.255,1,0.234,126.426,0.565,"['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']"
4ju7kar249CQKWu2s5uHFg,La H,0.449,0.853,0.675,2.61e-06,2,0.12,-5.451,1,0.0737,130.0,0.281,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
3M23T72K5eqHI2GzdFMMHE,Brother,0.618,0.592,0.625,9.71e-05,10,0.287,-6.203,0,0.2,166.018,0.555,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
2xroKiEu27SEt9Qykdpyux,Or Nah,0.515,0.606,0.392,7.43e-06,8,0.0993,-8.992,0,0.0881,121.745,0.201,[]
75pQqzwgCjUOSSy5CpmAjy,Pero Ya No,0.0475,0.882,0.612,5.07e-06,4,0.182,-6.103,1,0.118,147.982,0.742,"['reggaeton', 'trap latino', 'urbano latino']"
3aSZoM8ZylbB0xCBkGpNTg,LowKey,0.144,0.764,0.693,0.0,6,0.254,-4.667,0,0.396,179.866,0.682,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
5lhcHMDQpNwhM62lSOrvLf,Ahora Dice,0.255,0.704,0.691,0.0,6,0.129,-5.414,1,0.158,143.982,0.427,"['reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,0.207,0.659,0.688,0.0,6,0.113,-4.649,1,0.0673,153.979,0.632,"['trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino', 'panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
73g3mmNlkjuwWC8hy0MQQr,En un Avion,0.317,0.827,0.714,0.0,4,0.0843,-5.546,0,0.0647,141.054,0.717,"['trap latino', 'urbano latino', 'latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
1b62AO1IzcVr5SOgoguc9o,Sin Frenos,0.0723,0.657,0.702,0.0,9,0.188,-7.667,0,0.0482,145.022,0.75,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino', 'argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino', 'argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
07piZvs54drv7466oPLTt0,Respuesta Cero,0.702,0.625,0.523,1.39e-05,7,0.106,-7.079,1,0.105,169.933,0.657,"['rap canario', 'trap latino', 'urbano latino']"
04d4GpLedinwpfctvgOIhY,Piel de Cordero,0.46,0.827,0.541,4.42e-05,11,0.0948,-10.743,0,0.225,128.028,0.256,"['rap canario', 'trap latino', 'urbano latino', 'rap canario']"
15wMJJiVpt2ABQw032Rywi,No Me digas Nada,0.336,0.49,0.692,0.0,7,0.659,-4.291,1,0.274,102.16,0.484,"['rap canario', 'trap latino', 'urbano latino']"
6doVTElb0aU40nVrQ8Supq,34 Amor y Mafia,0.331,0.844,0.771,0.0,9,0.0893,-4.026,1,0.043,94.028,0.829,['flamenco urbano']
1pdK71OIQBAEHHSZ3pUggO,Rimmel,0.67,0.666,0.63,9.8e-06,0,0.083,-8.054,1,0.116,104.98,0.702,"['rap canario', 'trap latino', 'urbano latino']"
7kJkDbS5UsKGlpBx64ooQA,Estadia,0.685,0.827,0.768,0.00218,6,0.308,-5.503,0,0.0794,91.989,0.708,"['trap latino', 'urbano latino', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
1R3I5R1e7APlPX7ld7xoS1,MOOD,0.594,0.752,0.526,0.00013,6,0.137,-6.549,0,0.571,171.984,0.656,"['trap latino', 'urbano latino']"
4IeZs6zIvTQjg43G9raOhu,La Receta,0.309,0.79,0.682,0.0,11,0.0923,-8.823,0,0.147,164.892,0.965,"['trap latino', 'urbano latino', 'reggaeton flow', 'urbano latino']"
5dtNrI6WMGCTBbK8499242,CALENTÓN,0.45,0.455,0.592,1.03e-06,11,0.116,-7.069,0,0.227,134.025,0.512,"['trap latino', 'urbano latino']"
2Ykd9H7gmnTTfWAuFdlLRW,Jordan I,0.55,0.695,0.613,0.000328,5,0.243,-7.093,1,0.0662,97.958,0.31,"['trap latino', 'urbano espanol', 'urbano latino', 'rap canario', 'trap latino', 'urbano latino']"
087MXNkl7743Acmq9S4jBb,Un Día Más,0.634,0.703,0.464,0.0,6,0.103,-11.417,0,0.359,149.984,0.52,"['rap espanol', 'rap canario', 'trap latino', 'urbano latino', 'rap canario', 'urbano espanol']"
3RGg9W1OyEiRMwu1Qi45dW,Bentley,0.126,0.782,0.738,0.00206,1,0.0692,-2.125,1,0.122,166.056,0.755,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino']"
0JAZWvvqttGFm4UMDsPQXC,Despeinada,0.186,0.734,0.775,0.000542,8,0.123,-3.855,1,0.0614,166.039,0.72,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
05pt64GwpTsPRVJVB1EDfE,En La Mía,0.305,0.734,0.64,0.0,7,0.116,-6.718,0,0.0529,151.993,0.617,"['reggaeton', 'trap latino', 'urbano latino']"
3UytZp1xDkNkROyIwE7DbY,Hood - Remix,0.785,0.674,0.456,0.0,3,0.126,-6.253,1,0.0399,89.967,0.933,"['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino', 'trap argentino', 'trap latino', 'urbano latino']"
6Rpbzk2LC8xWZI93RyodAq,Hey Mor,0.00302,0.901,0.589,0.000237,1,0.0992,-6.713,0,0.289,98.002,0.399,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
3FKkbn11xHnb2XOsqsX3Sa,Salgo a Buscarte,0.666,0.781,0.567,0.0,7,0.324,-6.736,0,0.16,117.042,0.331,"['reggaeton', 'trap latino', 'urbano latino', 'trap boricua', 'trap latino', 'trap triste', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'reggaeton flow']"
5NxhMcHSVY3Z7ykWxZf3aj,En La De Ella,0.0798,0.816,0.77,0.0,1,0.118,-5.477,1,0.0538,96.99,0.671,"['reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
1zsPaEkglFvxjAhrM8yhpr,Hey Mor,0.00302,0.901,0.589,0.000237,1,0.0992,-6.713,0,0.289,98.002,0.399,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
22TyikLrwsaXhsL31mewls,Que Cojones,0.459,0.382,0.618,0.0,2,0.128,-7.201,0,0.0942,183.061,0.711,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
5S7FewmYYyLNdMOfeEcB6P,COMO HAS ESTAU?,0.309,0.793,0.62,0.0,3,0.121,-3.769,0,0.0462,111.979,0.917,"['trap latino', 'urbano latino']"
6ZxQu3WmtKGzm6yeSKsaz0,Midas,0.529,0.591,0.639,0.0,6,0.118,-4.672,0,0.387,78.752,0.264,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
53KWPG6uE5DCFwbF9K6qH0,Te Dijeron,0.474,0.777,0.631,0.0,9,0.158,-6.563,0,0.0854,149.935,0.804,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
6NSt2HFIMe5dEDo7Aq2Tf5,Caras Vemos,0.102,0.637,0.526,0.0,2,0.185,-7.847,0,0.242,114.529,0.387,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
3Lk9DyjczkS9qf8PlJgBYj,La Fama,0.322,0.624,0.423,0.0,6,0.122,-7.985,0,0.373,87.154,0.446,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']"
